RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
1,"Total, all countries or areas",2015,Population density,57.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",57.0
2,Africa,2015,Population density,40.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",40.6
15,Northern Africa,2015,Population density,29.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",29.7
202,Sub-Saharan Africa,2015,Population density,44.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",44.5
14,Eastern Africa,2015,Population density,59.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",59.1
17,Middle Africa,2015,Population density,24.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",24.3
18,Southern Africa,2015,Population density,24.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",24.0
11,Western Africa,2015,Population density,59.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",59.1
19,Americas,2015,Population density,25.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",25.4
21,Northern America,2015,Population density,19.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",19.3
419,Latin America & the Caribbean,2015,Population density,30.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",30.7
29,Caribbean,2015,Population density,193.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",193.0
13,Central America,2015,Population density,67.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",67.8
5,South America,2015,Population density,23.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",23.5
142,Asia,2015,Population density,142.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",142.2
143,Central Asia,2015,Population density,17.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",17.6
30,Eastern Asia,2015,Population density,138.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",138.4
62,South-central Asia,2015,Population density,186.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",186.5
35,South-eastern Asia,2015,Population density,143.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",143.1
34,Southern Asia,2015,Population density,290.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",290.2
