RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
1,"Total, all countries or areas",2010,Population mid-year estimates for females (millions),"3,471.20",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",3471.2
2,Africa,2010,Population mid-year estimates for females (millions),529.37,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",529.37
15,Northern Africa,2010,Population mid-year estimates for females (millions),102.52,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",102.52
202,Sub-Saharan Africa,2010,Population mid-year estimates for females (millions),426.85,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",426.85
14,Eastern Africa,2010,Population mid-year estimates for females (millions),173.15,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",173.15
17,Middle Africa,2010,Population mid-year estimates for females (millions),67.29,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",67.29
18,Southern Africa,2010,Population mid-year estimates for females (millions),30.60,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",30.6
11,Western Africa,2010,Population mid-year estimates for females (millions),155.80,Including Saint Helena.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",155.8
19,Americas,2010,Population mid-year estimates for females (millions),473.89,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",473.89
21,Northern America,2010,Population mid-year estimates for females (millions),175.10,"Including Bermuda, Greenland, and Saint Pierre and Miquelon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",175.1
419,Latin America & the Caribbean,2010,Population mid-year estimates for females (millions),298.78,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",298.78
29,Caribbean,2010,Population mid-year estimates for females (millions),20.84,"Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",20.84
13,Central America,2010,Population mid-year estimates for females (millions),79.39,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",79.39
5,South America,2010,Population mid-year estimates for females (millions),198.56,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",198.56
142,Asia,2010,Population mid-year estimates for females (millions),"2,067.28",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",2067.28
143,Central Asia,2010,Population mid-year estimates for females (millions),32.32,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",32.32
30,Eastern Asia,2010,Population mid-year estimates for females (millions),777.85,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",777.85
62,South-central Asia,2010,Population mid-year estimates for females (millions),876.04,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",876.04
35,South-eastern Asia,2010,Population mid-year estimates for females (millions),299.32,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",299.32
34,Southern Asia,2010,Population mid-year estimates for females (millions),843.72,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",843.72
145,Western Asia,2010,Population mid-year estimates for females (millions),114.08,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",114.08
