RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
1,"Total, all countries or areas",2020,Population mid-year estimates for females (millions),"3,897.34",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",3897.34
2,Africa,2020,Population mid-year estimates for females (millions),681.32,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",681.32
15,Northern Africa,2020,Population mid-year estimates for females (millions),124.55,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",124.55
202,Sub-Saharan Africa,2020,Population mid-year estimates for females (millions),556.76,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",556.76
14,Eastern Africa,2020,Population mid-year estimates for females (millions),226.54,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",226.54
17,Middle Africa,2020,Population mid-year estimates for females (millions),92.78,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",92.78
18,Southern Africa,2020,Population mid-year estimates for females (millions),34.53,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",34.53
11,Western Africa,2020,Population mid-year estimates for females (millions),202.91,Including Saint Helena.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",202.91
19,Americas,2020,Population mid-year estimates for females (millions),519.09,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",519.09
21,Northern America,2020,Population mid-year estimates for females (millions),188.56,"Including Bermuda, Greenland, and Saint Pierre and Miquelon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",188.56
419,Latin America & the Caribbean,2020,Population mid-year estimates for females (millions),330.52,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",330.52
29,Caribbean,2020,Population mid-year estimates for females (millions),22.20,"Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",22.2
13,Central America,2020,Population mid-year estimates for females (millions),89.81,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",89.81
5,South America,2020,Population mid-year estimates for females (millions),218.52,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",218.52
142,Asia,2020,Population mid-year estimates for females (millions),"2,288.98",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",2288.98
30,Eastern Asia,2020,Population mid-year estimates for females (millions),818.40,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",818.4
62,South-central Asia,2020,Population mid-year estimates for females (millions),999.54,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",999.54
35,South-eastern Asia,2020,Population mid-year estimates for females (millions),334.41,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",334.41
145,Western Asia,2020,Population mid-year estimates for females (millions),136.63,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",136.63
150,Europe,2020,Population mid-year estimates for females (millions),386.05,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",386.05
151,Eastern Europe,2020,Population mid-year estimates for females (millions),155.04,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",155.04
154,Northern Europe,2020,Population mid-year estimates for females (millions),53.53,Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",53.53
39,Southern Europe,2020,Population mid-year estimates for females (millions),78.11,"Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",78.11
155,Western Europe,2020,Population mid-year estimates for females (millions),99.37,Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",99.37
9,Oceania,2020,Population mid-year estimates for females (millions),21.91,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",21.91
53,Australia and New Zealand,2020,Population mid-year estimates for females (millions),15.49,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",15.49
54,Melanesia,2020,Population mid-year estimates for females (millions),5.81,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",5.81
57,Micronesia,2020,Population mid-year estimates for females (millions),0.26,"Including Marshall Islands, Nauru, Northern Mariana Islands and Palau.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.26
61,Polynesia,2020,Population mid-year estimates for females (millions),0.35,Including Pitcairn.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.35
4,Afghanistan,2020,Population mid-year estimates for females (millions),19.28,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",19.28
8,Albania,2020,Population mid-year estimates for females (millions),1.43,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1.43
12,Algeria,2020,Population mid-year estimates for females (millions),21.32,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",21.32
16,American Samoa,2020,Population mid-year estimates for females (millions),0.02,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.02
20,Andorra,2020,Population mid-year estimates for females (millions),0.04,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.04
24,Angola,2020,Population mid-year estimates for females (millions),16.91,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",16.91
660,Anguilla,2020,Population mid-year estimates for females (millions),0.01,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.01
28,Antigua and Barbuda,2020,Population mid-year estimates for females (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.05
32,Argentina,2020,Population mid-year estimates for females (millions),22.74,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",22.74
51,Armenia,2020,Population mid-year estimates for females (millions),1.54,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1.54
533,Aruba,2020,Population mid-year estimates for females (millions),0.06,"For statistical purposes, the data for Netherlands do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.06
36,Australia,2020,Population mid-year estimates for females (millions),12.93,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",12.93
40,Austria,2020,Population mid-year estimates for females (millions),4.52,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",4.52
31,Azerbaijan,2020,Population mid-year estimates for females (millions),5.21,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",5.21
44,Bahamas,2020,Population mid-year estimates for females (millions),0.21,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.21
48,Bahrain,2020,Population mid-year estimates for females (millions),0.56,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.56
50,Bangladesh,2020,Population mid-year estimates for females (millions),84.36,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",84.36
52,Barbados,2020,Population mid-year estimates for females (millions),0.15,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.15
112,Belarus,2020,Population mid-year estimates for females (millions),5.19,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",5.19
56,Belgium,2020,Population mid-year estimates for females (millions),5.85,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",5.85
84,Belize,2020,Population mid-year estimates for females (millions),0.20,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.2
