RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
1,"Total, all countries or areas",2020,Population mid-year estimates for males (millions),"3,943.61",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",3943.61
2,Africa,2020,Population mid-year estimates for males (millions),679.36,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",679.36
15,Northern Africa,2020,Population mid-year estimates for males (millions),126.86,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",126.86
202,Sub-Saharan Africa,2020,Population mid-year estimates for males (millions),552.50,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",552.5
14,Eastern Africa,2020,Population mid-year estimates for males (millions),222.75,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",222.75
17,Middle Africa,2020,Population mid-year estimates for males (millions),91.79,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",91.79
18,Southern Africa,2020,Population mid-year estimates for males (millions),32.74,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",32.74
11,Western Africa,2020,Population mid-year estimates for males (millions),205.22,Including Saint Helena.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",205.22
19,Americas,2020,Population mid-year estimates for males (millions),506.71,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",506.71
21,Northern America,2020,Population mid-year estimates for males (millions),185.39,"Including Bermuda, Greenland, and Saint Pierre and Miquelon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",185.39
419,Latin America & the Caribbean,2020,Population mid-year estimates for males (millions),321.31,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",321.31
29,Caribbean,2020,Population mid-year estimates for males (millions),21.76,"Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",21.76
13,Central America,2020,Population mid-year estimates for males (millions),86.54,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",86.54
5,South America,2020,Population mid-year estimates for males (millions),213.01,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",213.01
142,Asia,2020,Population mid-year estimates for males (millions),"2,375.35",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",2375.35
30,Eastern Asia,2020,Population mid-year estimates for males (millions),844.78,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",844.78
62,South-central Asia,2020,Population mid-year estimates for males (millions),"1,044.80",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1044.8
35,South-eastern Asia,2020,Population mid-year estimates for males (millions),335.75,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",335.75
145,Western Asia,2020,Population mid-year estimates for males (millions),150.01,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",150.01
150,Europe,2020,Population mid-year estimates for males (millions),360.17,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",360.17
151,Eastern Europe,2020,Population mid-year estimates for males (millions),137.79,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",137.79
154,Northern Europe,2020,Population mid-year estimates for males (millions),52.30,Projected estimate (medium fertility variant).;Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",52.3
39,Southern Europe,2020,Population mid-year estimates for males (millions),74.39,"Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",74.39
155,Western Europe,2020,Population mid-year estimates for males (millions),95.68,Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",95.68
9,Oceania,2020,Population mid-year estimates for males (millions),22.03,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",22.03
53,Australia and New Zealand,2020,Population mid-year estimates for males (millions),15.25,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",15.25
54,Melanesia,2020,Population mid-year estimates for males (millions),6.15,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",6.15
57,Micronesia,2020,Population mid-year estimates for males (millions),0.27,"Including Marshall Islands, Nauru, Northern Mariana Islands and Palau.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.27
61,Polynesia,2020,Population mid-year estimates for males (millions),0.36,Including Pitcairn.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.36
4,Afghanistan,2020,Population mid-year estimates for males (millions),19.69,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",19.69
8,Albania,2020,Population mid-year estimates for males (millions),1.43,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1.43
12,Algeria,2020,Population mid-year estimates for males (millions),22.13,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",22.13
16,American Samoa,2020,Population mid-year estimates for males (millions),0.02,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.02
20,Andorra,2020,Population mid-year estimates for males (millions),0.04,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.04
24,Angola,2020,Population mid-year estimates for males (millions),16.52,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",16.52
660,Anguilla,2020,Population mid-year estimates for males (millions),0.01,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.01
28,Antigua and Barbuda,2020,Population mid-year estimates for males (millions),0.04,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.04
32,Argentina,2020,Population mid-year estimates for males (millions),22.30,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",22.3
51,Armenia,2020,Population mid-year estimates for males (millions),1.27,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1.27
533,Aruba,2020,Population mid-year estimates for males (millions),0.05,"For statistical purposes, the data for Netherlands do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.05
36,Australia,2020,Population mid-year estimates for males (millions),12.74,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",12.74
40,Austria,2020,Population mid-year estimates for males (millions),4.38,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",4.38
