RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
1,"Total, all countries or areas",2010,Population mid-year estimates (millions),"6,985.60",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",6985.6
2,Africa,2010,Population mid-year estimates (millions),"1,055.23",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1055.23
15,Northern Africa,2010,Population mid-year estimates (millions),207.11,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",207.11
202,Sub-Saharan Africa,2010,Population mid-year estimates (millions),848.12,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",848.12
14,Eastern Africa,2010,Population mid-year estimates (millions),342.74,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",342.74
17,Middle Africa,2010,Population mid-year estimates (millions),133.61,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",133.61
18,Southern Africa,2010,Population mid-year estimates (millions),59.10,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",59.1
11,Western Africa,2010,Population mid-year estimates (millions),312.67,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",312.67
19,Americas,2010,Population mid-year estimates (millions),935.82,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",935.82
21,Northern America,2010,Population mid-year estimates (millions),345.27,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",345.27
419,Latin America & the Caribbean,2010,Population mid-year estimates (millions),590.55,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",590.55
29,Caribbean,2010,Population mid-year estimates (millions),41.40,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",41.4
13,Central America,2010,Population mid-year estimates (millions),156.06,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",156.06
5,South America,2010,Population mid-year estimates (millions),393.08,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",393.08
142,Asia,2010,Population mid-year estimates (millions),"4,221.17",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",4221.17
143,Central Asia,2010,Population mid-year estimates (millions),63.62,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",63.62
30,Eastern Asia,2010,Population mid-year estimates (millions),"1,583.27",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1583.27
62,South-central Asia,2010,Population mid-year estimates (millions),"1,799.54",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1799.54
35,South-eastern Asia,2010,Population mid-year estimates (millions),599.78,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",599.78
34,Southern Asia,2010,Population mid-year estimates (millions),"1,735.92",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1735.92
145,Western Asia,2010,Population mid-year estimates (millions),238.59,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",238.59
