RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
1,"Total, all countries or areas",2020,Surface area (thousand km2),"130,094",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",130094.0
2,Africa,2020,Surface area (thousand km2),"29,648",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",29648.0
15,Northern Africa,2020,Surface area (thousand km2),"7,769",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",7769.0
202,Sub-Saharan Africa,2020,Surface area (thousand km2),"21,879",Calculated by the UN Statistics Division.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",21879.0
14,Eastern Africa,2020,Surface area (thousand km2),"6,667",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",6667.0
17,Middle Africa,2020,Surface area (thousand km2),"6,497",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",6497.0
18,Southern Africa,2020,Surface area (thousand km2),"2,651",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",2651.0
11,Western Africa,2020,Surface area (thousand km2),"6,064",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",6064.0
19,Americas,2020,Surface area (thousand km2),"38,791",Calculated by the UN Statistics Division.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",38791.0
21,Northern America,2020,Surface area (thousand km2),"18,652",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",18652.0
419,Latin America & the Caribbean,2020,Surface area (thousand km2),"20,139",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",20139.0
29,Caribbean,2020,Surface area (thousand km2),226,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",226.0
13,Central America,2020,Surface area (thousand km2),"2,452",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",2452.0
5,South America,2020,Surface area (thousand km2),"17,461",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",17461.0
142,Asia,2020,Surface area (thousand km2),"31,033",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",31033.0
30,Eastern Asia,2020,Surface area (thousand km2),"11,560",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",11560.0
62,South-central Asia,2020,Surface area (thousand km2),"10,327",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",10327.0
35,South-eastern Asia,2020,Surface area (thousand km2),"4,341",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",4341.0
145,Western Asia,2020,Surface area (thousand km2),"4,805",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",4805.0
150,Europe,2020,Surface area (thousand km2),"22,135",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",22135.0
